rok,wiek,liczba_m,liczba_k
1970,0,267062,254499
1970,1,256244,245698
1970,2,259486,247922
1970,3,255955,245349
1970,4,258475,247284
1970,5,265627,253550
1970,6,272828,260229
1970,7,280017,267728
1970,8,284893,270722
1970,9,295695,282408
1970,10,318350,306275
1970,11,336666,321633
1970,12,355040,339535
1970,13,361046,347223
1970,14,359785,344952
1970,15,368625,352115
1970,16,355210,342562
1970,17,353293,340654
1970,18,351311,337859
1970,19,343864,333061
1970,20,333669,322814
1970,21,310169,302408
1970,22,307641,298727
1970,23,286849,278832
1970,24,260943,256225
1970,25,192470,189703
1970,26,190382,189163
1970,27,184998,183266
1970,28,184006,182401
1970,29,197025,195076
1970,30,210506,209488
1970,31,211052,212456
1970,32,213108,214445
1970,33,217994,217624
1970,34,223452,225350
1970,35,224890,224747
1970,36,220060,221319
1970,37,218496,218267
1970,38,229704,231554
1970,39,233911,233974
1970,40,245031,248170
1970,41,228068,232448
1970,42,223584,233107
1970,43,203705,233107
1970,44,197026,224851
1970,45,205171,238609
1970,46,187626,221836
1970,47,186505,219243
1970,48,179164,211841
1970,49,156178,179843
1970,50,159702,181510
1970,51,135080,160293
1970,52,96565,117337
1970,53,96378,113144
1970,54,99442,121279
1970,55,108169,134917
1970,56,137145,172134
1970,57,140584,169172
1970,58,147647,169172
1970,59,139977,168122
1970,60,146494,177152
1970,61,140413,167589
1970,62,133145,163004
1970,63,132834,161315
1970,64,122369,154017
1970,65,111879,144637
1970,66,107792,140081
1970,67,99435,131426
1970,68,95091,131424
1970,69,82761,116637
1970,70,85174,131274
1970,71,64559,97284
1970,72,59679,96650
1970,73,53971,87662
1970,74,47104,81306
1970,75,42132,75309
1970,76,35147,63675
1970,77,30891,56295
1970,78,24414,48088
1970,79,21477,41528
1970,80,19293,41046
1970,81,17012,34792
1970,82,14894,32456
1970,83,11206,24460
1970,84,9399,24460
1970,85,7439,17801
1970,86,5746,13961
1970,87,4341,10876
1970,88,3557,9416
1970,89,2370,6140
1970,90,1926,5824
1970,91,1145,3176
1970,92,873,2547
1970,93,722,1906
1970,94,413,1280
1970,95,324,991
1970,96,196,688
1970,97,129,488
1970,98,102,393
1970,99,46,197
1970,100,60,256
1971,0,271619,257686
1971,1,274489,261660
1971,2,255896,245470
1971,3,259148,247633
1971,4,255611,245031
1971,5,258108,246996
1971,6,265237,253203
1971,7,272432,259854
1971,8,279576,267339
1971,9,284417,270324
1971,10,295198,281965
1971,11,317813,305854
1971,12,336126,321221
1971,13,354463,339026
1971,14,360486,346792
1971,15,359280,344541
1971,16,368108,351704
1971,17,354678,342192
1971,18,352684,340277
1971,19,350620,337493
1971,20,343158,332692
1971,21,332962,322481
1971,22,309558,302033
1971,23,306977,298351
1971,24,286232,278458
1971,25,260409,255921
1971,26,191999,189392
1971,27,189900,188803
1971,28,184504,182904
1971,29,183504,182049
1971,30,196330,194628
1971,31,209752,208995
1971,32,210323,211898
1971,33,212273,213920
1971,34,217108,217015
1971,35,222478,224660
1971,36,223794,224072
1971,37,218976,220645
1971,38,217410,217660
1971,39,228570,230843
1971,40,232562,233296
1971,41,243669,247438
1971,42,226778,231748
1971,43,222335,231748
1971,44,202475,219328
1971,45,195768,224066
1971,46,203790,237726
1971,47,186346,221048
1971,48,185191,218387
1971,49,177754,210915
1971,50,154768,178963
1971,51,158309,180619
1971,52,133715,159393
1971,53,95593,116631
1971,54,95199,112448
1971,55,98101,120458
1971,56,106610,133879
1971,57,135079,170816
1971,58,138254,170816
1971,59,144963,180855
1971,60,137077,166341
1971,61,143139,175188
1971,62,136768,165394
1971,63,129418,160615
1971,64,128872,158737
1971,65,118006,151234
1971,66,107659,141848
1971,67,103281,137123
1971,68,94904,128239
1971,69,90281,127850
1971,70,77997,112888
1971,71,80372,127099
1971,72,60113,93296
1971,73,55320,92447
1971,74,49639,83288
1971,75,43020,76770
1971,76,38143,70736
1971,77,31467,59379
1971,78,27491,52061
1971,79,21579,44197
1971,80,18700,37400
1971,81,16700,37100
1971,82,14700,31100
1971,83,12700,28900
1971,84,9300,28900
1971,85,7707,18814
1971,86,5953,14755
1971,87,4497,11495
1971,88,3685,9952
1971,89,2455,6489
1971,90,1995,6155
1971,91,1186,3357
1971,92,904,2692
1971,93,748,2014
1971,94,428,1353
1971,95,336,1047
1971,96,203,727
1971,97,134,516
1971,98,106,415
1971,99,48,208
1971,100,61,272
1972,0,279865,264504
1972,1,278302,264361
1972,2,274246,261527
1972,3,255670,245255
1972,4,258929,247442
1972,5,255372,244852
1972,6,257884,246804
1972,7,264989,252985
1972,8,272171,259624
1972,9,279298,267133
1972,10,284123,270106
1972,11,294896,281775
1972,12,317484,305597
1972,13,335788,320944
1972,14,354090,338687
1972,15,360045,346496
1972,16,358848,344264
1972,17,367597,351405
1972,18,354103,341878
1972,19,352030,339924
1972,20,349907,337092
1972,21,342499,332279
1972,22,332288,322107
1972,23,308906,301626
1972,24,306340,297961
1972,25,285593,278095
1972,26,259873,255572
1972,27,191591,189132
1972,28,189458,188538
1972,29,184060,182620
1972,30,183023,181762
1972,31,195732,194311
1972,32,209183,208662
1972,33,209698,211517
1972,34,211592,213544
1972,35,216360,216580
1972,36,221695,224208
1972,37,222886,223588
1972,38,218095,220115
1972,39,216490,217174
1972,40,227530,230286
1972,41,231480,232713
1972,42,242459,246782
1972,43,225579,246782
1972,44,221133,231800
1972,45,201280,218697
1972,46,194563,223343
1972,47,202392,236888
1972,48,185042,220241
1972,49,183814,217490
1972,50,176274,209997
1972,51,153411,178081
1972,52,156821,179645
1972,53,132307,158532
1972,54,94520,115917
1972,55,94050,111749
1972,56,96893,119622
1972,57,105107,132907
1972,58,132984,132907
1972,59,135910,166211
1972,60,142197,179040
1972,61,134169,164601
1972,62,140001,173210
1972,63,133216,163296
1972,64,125892,158304
1972,65,125100,156271
1972,66,114044,148557
1972,67,103774,139136
1972,68,99130,134165
1972,69,90749,125055
1972,70,85920,124362
1972,71,73873,109399
1972,72,76104,123164
1972,73,56253,89490
1972,74,51588,88370
1972,75,45844,79188
1972,76,39603,72581
1972,77,34757,66411
1972,78,28466,55257
1972,79,24618,48071
1972,80,19200,40500
1972,81,16300,33600
1972,82,14600,33600
1972,83,12800,27700
1972,84,11000,27700
1972,85,8552,20683
1972,86,5859,14281
1972,87,4777,12300
1972,88,3623,9755
1972,89,2716,7535
1972,90,1875,5418
1972,91,1498,4634
1972,92,903,2630
1972,93,753,2714
1972,94,312,1103
1972,95,268,988
1972,96,255,771
1972,97,114,466
1972,98,110,360
1972,99,63,255
1972,100,18,529
1973,0,288505,274717
1973,1,289028,273639
1973,2,278154,264268
1973,3,274019,261373
1973,4,255485,245112
1973,5,258750,247319
1973,6,255194,244729
1973,7,257702,246667
1973,8,264831,252816
1973,9,271974,259479
1973,10,279103,266961
1973,11,283915,269962
1973,12,294703,281630
1973,13,317260,305443
1973,14,335571,320802
1973,15,353827,338493
1973,16,359725,346239
1973,17,358413,343952
1973,18,367054,351094
1973,19,353422,341577
1973,20,351388,339587
1973,21,349222,336572
1973,22,341807,331737
1973,23,331557,321577
1973,24,308149,301124
1973,25,305628,297521
1973,26,284887,277657
1973,27,259254,255144
1973,28,191082,188894
1973,29,188957,188316
1973,30,183512,182343
1973,31,182519,181493
1973,32,195168,194029
1973,33,208556,208324
1973,34,209040,211157
1973,35,210830,213239
1973,36,215592,216210
1973,37,220835,223864
1973,38,222060,223171
1973,39,217214,219669
1973,40,215593,216703
1973,41,226517,229815
1973,42,230350,232175
1973,43,241239,232175
1973,44,224309,230439
1973,45,219827,231139
1973,46,200016,218006
1973,47,193228,222616
1973,48,200923,235970
1973,49,183658,219464
1973,50,182171,216586
1973,51,174722,209051
1973,52,151878,177214
1973,53,155184,178681
1973,54,130793,157605
1973,55,93331,115177
1973,56,92864,110985
1973,57,95550,118746
1973,58,103447,118746
1973,59,130660,168086
1973,60,133278,164584
1973,61,139300,177185
1973,62,131159,162739
1973,63,136595,171077
1973,64,129529,160966
1973,65,121936,155810
1973,66,120886,153656
1973,67,109809,145742
1973,68,99630,136183
1973,69,94682,131016
1973,70,86182,121718
1973,71,81241,120621
1973,72,69501,105570
1973,73,71697,118879
1973,74,52132,85346
1973,75,47548,84076
1973,76,41998,74824
1973,77,35943,68034
1973,78,31346,61933
1973,79,25357,50941
1973,80,21697,43803
1973,81,16843,36997
1973,82,14018,29923
1973,83,12583,29917
1973,84,10824,29917
1973,85,9274,22448
1973,86,6354,15500
1973,87,5181,13349
1973,88,3929,10587
1973,89,2945,8178
1973,90,2033,5880
1973,91,1625,5029
1973,92,979,2854
1973,93,817,2946
1973,94,338,1197
1973,95,291,1072
1973,96,276,837
1973,97,124,506
1973,98,119,391
1973,99,68,277
1973,100,20,574
1974,0,308104,286903
1974,1,292372,280091
1974,2,288949,273661
1974,3,278169,264299
1974,4,273903,261298
1974,5,255346,245007
1974,6,258600,247221
1974,7,255056,244639
1974,8,257572,246538
1974,9,264632,252712
1974,10,271844,259356
1974,11,278905,266833
1974,12,283714,269828
1974,13,294499,281476
1974,14,316999,305259
1974,15,335294,320577
1974,16,353480,338284
1974,17,359294,346022
1974,18,357839,343688
1974,19,366465,350823
1974,20,352890,341264
1974,21,350772,339251
1974,22,348639,336177
1974,23,341190,331375
1974,24,330926,321217
1974,25,307518,300793
1974,26,305041,297169
1974,27,284330,277337
1974,28,258787,254891
1974,29,190631,188669
1974,30,188561,188080
1974,31,183034,182127
1974,32,181964,181234
1974,33,194578,193688
1974,34,207912,207936
1974,35,208341,210820
1974,36,210124,212873
1974,37,214835,215831
1974,38,219997,223389
1974,39,221121,222707
1974,40,216300,219149
1974,41,214574,216193
1974,42,225420,229194
1974,43,229080,229194
1974,44,239888,245516
1974,45,222968,229748
1974,46,218517,230356
1974,47,198643,217209
1974,48,191648,221672
1974,49,199294,235026
1974,50,182036,218502
1974,51,180504,215603
1974,52,173106,208110
1974,53,150105,176186
1974,54,153569,177664
1974,55,129615,156795
1974,56,91982,114347
1974,57,91389,110071
1974,58,93767,110071
1974,59,100929,130231
1974,60,127976,166339
1974,61,130198,162566
1974,62,135943,175079
1974,63,127504,160422
1974,64,132590,168451
1974,65,125503,158354
1974,66,117469,152897
1974,67,116523,150555
1974,68,105624,142504
1974,69,95059,132648
1974,70,90222,127364
1974,71,81492,117577
1974,72,76875,116641
1974,73,65045,100975
1974,74,67650,114521
1974,75,48165,80818
1974,76,43853,79508
1974,77,38547,70141
1974,78,32717,63485
1974,79,28359,57578
1974,80,22748,46912
1974,81,19524,40086
1974,82,14733,33422
1974,83,12128,26444
1974,84,10973,26444
1974,85,9327,21340
1974,86,8049,19808
1974,87,5322,13302
1974,88,4356,11516
1974,89,3310,9073
1974,90,2438,6977
1974,91,1642,4893
1974,92,1349,4338
1974,93,788,2279
1974,94,676,2503
1974,95,234,943
1974,96,225,881
1974,97,236,719
1974,98,101,431
1974,99,120,391
1974,100,88,851
1975,0,324398,305399
1975,1,306432,285551
1975,2,292080,279848
1975,3,288723,273482
1975,4,277944,264147
1975,5,273717,261164
1975,6,255197,244882
1975,7,258403,247115
1975,8,254910,244501
1975,9,257392,246436
1975,10,264469,252586
1975,11,271658,259238
1975,12,278746,266719
1975,13,283532,269708
1975,14,294281,281317
1975,15,316713,305085
1975,16,334978,320386
1975,17,353066,338072
1975,18,358810,345791
1975,19,357251,343418
1975,20,365840,350532
1975,21,352256,340895
1975,22,350077,338873
1975,23,347927,335760
1975,24,340489,330977
1975,25,330236,320854
1975,26,306894,300437
1975,27,304398,296858
1975,28,283790,277035
1975,29,258278,254623
1975,30,190144,188423
1975,31,188100,187821
1975,32,182554,181909
1975,33,181459,180957
1975,34,193976,193414
1975,35,207216,207633
1975,36,207680,210488
